date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2011-03-18,11107,Friday,5,3,2011,d_49,,,,,0,0,1
2011-03-19,11108,Saturday,6,3,2011,d_50,,,,,0,0,1
2011-03-20,11108,Sunday,7,3,2011,d_51,,,,,0,0,0
2011-03-21,11108,Monday,1,3,2011,d_52,,,,,0,0,0
2011-03-22,11108,Tuesday,2,3,2011,d_53,,,,,0,0,0
2011-03-23,11108,Wednesday,3,3,2011,d_54,,,,,0,0,0
2011-03-24,11108,Thursday,4,3,2011,d_55,,,,,0,0,0
2011-03-25,11108,Friday,5,3,2011,d_56,,,,,0,0,0
2011-03-26,11109,Saturday,6,3,2011,d_57,,,,,0,0,0
2011-03-27,11109,Sunday,7,3,2011,d_58,,,,,0,0,0
2011-03-28,11109,Monday,1,3,2011,d_59,,,,,0,0,0
2011-03-29,11109,Tuesday,2,3,2011,d_60,,,,,0,0,0
2011-03-30,11109,Wednesday,3,3,2011,d_61,Sporting,Sporting,,,1,0,0
2011-03-31,11109,Thursday,4,3,2011,d_62,,,,,1,0,0
2011-04-01,11109,Friday,5,4,2011,d_63,,,,,1,0,0
2011-04-02,11110,Saturday,6,4,2011,d_64,,,,,1,0,0
2011-04-03,11110,Sunday,7,4,2011,d_65,,,,,1,0,0
2011-04-04,11110,Monday,1,4,2011,d_66,,,,,1,1,0
2011-04-05,11110,Tuesday,2,4,2011,d_67,,,,,1,1,0
2011-04-06,11110,Wednesday,3,4,2011,d_68,,,,,1,1,0
2011-04-07,11110,Thursday,4,4,2011,d_69,,,,,1,1,0
2011-04-08,11110,Friday,5,4,2011,d_70,,,,,1,1,0
2011-04-09,11111,Saturday,6,4,2011,d_71,,,,,0,1,1
2011-04-10,11111,Sunday,7,4,2011,d_72,,,,,0,1,1
2011-04-11,11111,Monday,1,4,2011,d_73,,,,,0,1,1
2011-04-12,11111,Tuesday,2,4,2011,d_74,,,,,0,1,1
2011-04-13,11111,Wednesday,3,4,2011,d_75,,,,,0,1,1
2011-04-14,11111,Thursday,4,4,2011,d_76,Sporting,Sporting,,,0,0,1
2011-04-15,11111,Friday,5,4,2011,d_77,,,,,0,0,1
2011-04-16,11112,Saturday,6,4,2011,d_78,,,,,0,0,1
2011-04-17,11112,Sunday,7,4,2011,d_79,,,,,0,0,1
2011-04-18,11112,Monday,1,4,2011,d_80,,,,,0,0,1
2011-04-19,11112,Tuesday,2,4,2011,d_81,,,,,0,0,0
2011-04-20,11112,Wednesday,3,4,2011,d_82,,,,,0,0,0
2011-04-21,11112,Thursday,4,4,2011,d_83,,,,,0,0,0
2011-04-22,11112,Friday,5,4,2011,d_84,,,,,0,0,0
2011-04-23,11113,Saturday,6,4,2011,d_85,,,,,0,0,0
2011-04-24,11113,Sunday,7,4,2011,d_86,,,,,0,0,0
2011-04-25,11113,Monday,1,4,2011,d_87,,,,,0,0,0
2011-04-26,11113,Tuesday,2,4,2011,d_88,,,,,0,0,0
2011-04-27,11113,Wednesday,3,4,2011,d_89,,,,,0,0,0
2011-04-28,11113,Thursday,4,4,2011,d_90,,,,,0,0,0
2011-04-29,11113,Friday,5,4,2011,d_91,Sporting,Sporting,,,1,0,0
2011-04-30,11114,Saturday,6,4,2011,d_92,,,,,1,0,0
2011-05-01,11114,Sunday,7,5,2011,d_93,,,,,1,0,0
2011-05-02,11114,Monday,1,5,2011,d_94,,,,,1,0,0
2011-05-03,11114,Tuesday,2,5,2011,d_95,,,,,1,0,0
2011-05-04,11114,Wednesday,3,5,2011,d_96,,,,,1,1,0
2011-05-05,11114,Thursday,4,5,2011,d_97,,,,,1,1,0
2011-05-06,11114,Friday,5,5,2011,d_98,,,,,1,1,0
2011-05-07,11115,Saturday,6,5,2011,d_99,,,,,1,1,0
2011-05-08,11115,Sunday,7,5,2011,d_100,,,,,1,1,0
2011-05-09,11115,Monday,1,5,2011,d_101,,,,,0,1,1
2011-05-10,11115,Tuesday,2,5,2011,d_102,,,,,0,1,1
2011-05-11,11115,Wednesday,3,5,2011,d_103,,,,,0,1,1
2011-05-12,11115,Thursday,4,5,2011,d_104,,,,,0,1,1
2011-05-13,11115,Friday,5,5,2011,d_105,,,,,0,1,1
2011-05-14,11116,Saturday,6,5,2011,d_106,Sporting,Sporting,,,0,0,1
2011-05-15,11116,Sunday,7,5,2011,d_107,,,,,0,0,1
2011-05-16,11116,Monday,1,5,2011,d_108,,,,,0,0,1
2011-05-17,11116,Tuesday,2,5,2011,d_109,,,,,0,0,1
2011-05-18,11116,Wednesday,3,5,2011,d_110,,,,,0,0,1
2011-05-19,11116,Thursday,4,5,2011,d_111,,,,,0,0,0
2011-05-20,11116,Friday,5,5,2011,d_112,,,,,0,0,0
2011-05-21,11117,Saturday,6,5,2011,d_113,,,,,0,0,0
2011-05-22,11117,Sunday,7,5,2011,d_114,,,,,0,0,0
2011-05-23,11117,Monday,1,5,2011,d_115,,,,,0,0,0
2011-05-24,11117,Tuesday,2,5,2011,d_116,,,,,0,0,0
2011-05-25,11117,Wednesday,3,5,2011,d_117,,,,,0,0,0
2011-05-26,11117,Thursday,4,5,2011,d_118,,,,,0,0,0
2011-05-27,11117,Friday,5,5,2011,d_119,,,,,0,0,0
2011-05-28,11118,Saturday,6,5,2011,d_120,,,,,0,0,0
2011-05-29,11118,Sunday,7,5,2011,d_121,Sporting,Sporting,,,1,0,0
2011-05-30,11118,Monday,1,5,2011,d_122,,,,,1,0,0
2011-05-31,11118,Tuesday,2,5,2011,d_123,,,,,1,0,0
2011-06-01,11118,Wednesday,3,6,2011,d_124,,,,,1,0,0
2011-06-02,11118,Thursday,4,6,2011,d_125,,,,,1,0,0
2011-06-03,11118,Friday,5,6,2011,d_126,,,,,1,1,0
2011-06-04,11119,Saturday,6,6,2011,d_127,,,,,1,1,0
2011-06-05,11119,Sunday,7,6,2011,d_128,,,,,1,1,0
2011-06-06,11119,Monday,1,6,2011,d_129,,,,,1,1,0
2011-06-07,11119,Tuesday,2,6,2011,d_130,,,,,1,1,0
2011-06-08,11119,Wednesday,3,6,2011,d_131,,,,,0,1,1
2011-06-09,11119,Thursday,4,6,2011,d_132,,,,,0,1,1
2011-06-10,11119,Friday,5,6,2011,d_133,,,,,0,1,1
2011-06-11,11120,Saturday,6,6,2011,d_134,,,,,0,1,1
2011-06-12,11120,Sunday,7,6,2011,d_135,,,,,0,1,1
2011-06-13,11120,Monday,1,6,2011,d_136,Sporting,Sporting,,,0,0,1
2011-06-14,11120,Tuesday,2,6,2011,d_137,,,,,0,0,1
2011-06-15,11120,Wednesday,3,6,2011,d_138,,,,,0,0,1
2011-06-16,11120,Thursday,4,6,2011,d_139,,,,,0,0,1
2011-06-17,11120,Friday,5,6,2011,d_140,,,,,0,0,1
2011-06-18,11121,Saturday,6,6,2011,d_141,,,,,0,0,0
2011-06-19,11121,Sunday,7,6,2011,d_142,,,,,0,0,0
2011-06-20,11121,Monday,1,6,2011,d_143,,,,,0,0,0
2011-06-21,11121,Tuesday,2,6,2011,d_144,,,,,0,0,0
2011-06-22,11121,Wednesday,3,6,2011,d_145,,,,,0,0,0
2011-06-23,11121,Thursday,4,6,2011,d_146,,,,,0,0,0
2011-06-24,11121,Friday,5,6,2011,d_147,,,,,0,0,0
2011-06-25,11122,Saturday,6,6,2011,d_148,,,,,0,0,0
2011-06-26,11122,Sunday,7,6,2011,d_149,,,,,0,0,0
2011-06-27,11122,Monday,1,6,2011,d_150,,,,,0,0,0
2011-06-28,11122,Tuesday,2,6,2011,d_151,Sporting,Sporting,,,1,0,0
2011-06-29,11122,Wednesday,3,6,2011,d_152,,,,,1,0,0
2011-06-30,11122,Thursday,4,6,2011,d_153,,,,,1,0,0
2011-07-01,11122,Friday,5,7,2011,d_154,,,,,1,0,0
2011-07-02,11123,Saturday,6,7,2011,d_155,,,,,1,0,0
2011-07-03,11123,Sunday,7,7,2011,d_156,,,,,1,1,0
2011-07-04,11123,Monday,1,7,2011,d_157,,,,,1,1,0
2011-07-05,11123,Tuesday,2,7,2011,d_158,,,,,1,1,0
2011-07-06,11123,Wednesday,3,7,2011,d_159,,,,,1,1,0
2011-07-07,11123,Thursday,4,7,2011,d_160,,,,,1,1,0
2011-07-08,11123,Friday,5,7,2011,d_161,,,,,0,1,1
2011-07-09,11124,Saturday,6,7,2011,d_162,,,,,0,1,1
2011-07-10,11124,Sunday,7,7,2011,d_163,,,,,0,1,1
2011-07-11,11124,Monday,1,7,2011,d_164,,,,,0,1,1
2011-07-12,11124,Tuesday,2,7,2011,d_165,,,,,0,1,1
2011-07-13,11124,Wednesday,3,7,2011,d_166,Sporting,Sporting,,,0,0,1
2011-07-14,11124,Thursday,4,7,2011,d_167,,,,,0,0,1
2011-07-15,11124,Friday,5,7,2011,d_168,,,,,0,0,1
2011-07-16,11125,Saturday,6,7,2011,d_169,,,,,0,0,1
2011-07-17,11125,Sunday,7,7,2011,d_170,,,,,0,0,1
2011-07-18,11125,Monday,1,7,2011,d_171,,,,,0,0,0
2011-07-19,11125,Tuesday,2,7,2011,d_172,,,,,0,0,0
2011-07-20,11125,Wednesday,3,7,2011,d_173,,,,,0,0,0
2011-07-21,11125,Thursday,4,7,2011,d_174,,,,,0,0,0
2011-07-22,11125,Friday,5,7,2011,d_175,,,,,0,0,0
2011-07-23,11126,Saturday,6,7,2011,d_176,,,,,0,0,0
2011-07-24,11126,Sunday,7,7,2011,d_177,,,,,0,0,0
2011-07-25,11126,Monday,1,7,2011,d_178,,,,,0,0,0
2011-07-26,11126,Tuesday,2,7,2011,d_179,,,,,0,0,0
2011-07-27,11126,Wednesday,3,7,2011,d_180,,,,,0,0,0
2011-07-28,11126,Thursday,4,7,2011,d_181,Sporting,Sporting,,,1,0,0
2011-07-29,11126,Friday,5,7,2011,d_182,,,,,1,0,0
2011-07-30,11127,Saturday,6,7,2011,d_183,,,,,1,0,0
2011-07-31,11127,Sunday,7,7,2011,d_184,,,,,1,0,0
2011-08-01,11127,Monday,1,8,2011,d_185,,,,,1,0,0
2011-08-02,11127,Tuesday,2,8,2011,d_186,,,,,1,1,0
2011-08-03,11127,Wednesday,3,8,2011,d_187,,,,,1,1,0
2011-08-04,11127,Thursday,4,8,2011,d_188,,,,,1,1,0
2011-08-05,11127,Friday,5,8,2011,d_189,,,,,1,1,0
2011-08-06,11128,Saturday,6,8,2011,d_190,,,,,1,1,0
2011-08-07,11128,Sunday,7,8,2011,d_191,,,,,0,1,1
2011-08-08,11128,Monday,1,8,2011,d_192,,,,,0,1,1
2011-08-09,11128,Tuesday,2,8,2011,d_193,,,,,0,1,1
2011-08-10,11128,Wednesday,3,8,2011,d_194,,,,,0,1,1
2011-08-11,11128,Thursday,4,8,2011,d_195,,,,,0,1,1
2011-08-12,11128,Friday,5,8,2011,d_196,Sporting,Sporting,,,0,0,1
2011-08-13,11129,Saturday,6,8,2011,d_197,,,,,0,0,1
2011-08-14,11129,Sunday,7,8,2011,d_198,,,,,0,0,1
2011-08-15,11129,Monday,1,8,2011,d_199,,,,,0,0,1
2011-08-16,11129,Tuesday,2,8,2011,d_200,,,,,0,0,1
